OBJECTID_1,ProjectID,ProjName,dtmBoardAp,Type,Function_,Program,PrimPurp,PrimGrante,County,WCBFunding,TotalCost,TotalAcres,Comment,OBJECTID,Shape_Leng,Shape__Area,Shape__Length,GlobalID
2844,2016049,Upper Devereux Slough Restoration,2016/06/02 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Coastal Wetlands,"Regents of the University of California, Santa Barbara",Santa Barbara,3820000,14000000,136,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2885,4340.59594796,817211.07421875,5266.14601604207,37746aa4-cadf-4eda-9fa5-1c502ca41a2b
2845,2016064,California State Lands Lease-PRC 9174.9,2016/06/02 00:00:00+00,Transaction,Lease,DFG Project (Transaction) Program,Fish Hatchery, ,Fresno,0,0,1, ,2886,72.6089294336,266.390625,90.9981160063303,6a501300-f0a7-4873-8c75-d82c7e05803a
2846,2015055,Rim Fire Forest Restoration,2016/06/02 00:00:00+00,Development,Restoration/Enhancement,California Forest Conservation Program,Forest Habitat,Tuolumne River Preservation Trust,Tuolumne,3510000,3750750,14000,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2887,165225.56162,104419481.636719,209631.446272192,bce3d75d-c1a0-4d06-b432-3fb50cf46c94
2847,2016116,"DFG Land Management Plans, Inland Deserts Region, Phase II, Augmentation II",2016/11/16 00:00:00+00,Development,"Other (Plan, Study, Etc.)",Miscellaneous Projects Program,Management Plan, ,Riverside,323100,559330.58,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2888,195875.067497,107016422.617188,236176.09479946,d8508dce-a484-4961-82ca-231fb126f4c8
2848,2015085,Marywood - Hwy 17 Wildlife Crossing,2016/11/16 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Wildlife Corridor/Habitat Link,Land Trust of Santa Cruz County,Santa Cruz,415000,1215000,170, ,2889,4037.78320082,849914.91015625,5066.90814149219,a7e4bccc-5521-4b27-8ef4-68522de979fa
2849,2015065,"Heenan Lake Water and Storage Rights, Expansion 4",2016/11/16 00:00:00+00,Acquisition,Water/Storage Rights,Land Acquisition Program,Water Rights Acquisition, ,Alpine,2209000,2209000,0, ,2890,3472.92692459,803710.79296875,4450.5471723764,14da0d04-0775-48f6-af76-d4bc59a5222c
2850,2016120,Pleitito Creek Riparian Restoration,2016/11/16 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Riparian Habitat,Wildlands Conservancy,Kern,142000,261973,5,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2891,4219.81773095,141686.1328125,5152.68691993728,149ae855-818a-4fab-8742-aefbecbab496
2851,2015097,Chesebro Meadow,2016/11/16 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Wildlife Corridor/Habitat Link,Mountains Recreation and Conservation Authority,Los Angeles,3355000,7005000,71, ,2892,2481.74108687,415789.2265625,3003.66424550296,9293a2d1-a869-47eb-be41-478083199841
2852,2016129,"State Route 36, Buck Mountain Mitigation",2016/11/16 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Interior Wetlands, ,Humboldt,0,0,155, ,2893,4061.9585044,1119595.29296875,5341.53760600514,f378ddba-9a1a-4d19-b13b-4bd09fcb6fbb
2853,2016106,"Irish Hills, Waddell Ranch",2016/11/16 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Deer Range Habitat, ,San Luis Obispo,505000,1105000,154, ,2894,3962.4905354,1022653.50390625,4857.7903480811,d2c21c92-e8b7-4900-970d-50d4c94cf6aa
2854,2013145,American Canyon,2016/11/16 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat, ,Napa,0,0,307, ,2895,5563.49052988,2123544.85546875,7082.82155276035,73f290e5-f290-4ae4-87d7-09db52c8a900
2855,2014106,Montesol Ranch,2016/11/16 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Forest Habitat,Land Trust of Napa County,Multiple,3760000,11675000,7266, ,2896,50429.3030939,48344665.0820313,64636.4086769852,a988082f-a0a2-4da1-8f27-d65897e00e20
2856,2013116,Smithneck Creek Wildlife Area Land Exchange,2016/11/16 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Deer Range Habitat, ,Sierra,7000,7000,9, ,2897,3125.46473575,78738.28125,4062.36104620099,7d733c7b-1206-4177-8a5a-07af4219e43c
2857,2015028,Sutter Bypass Access Easement,2016/11/16 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Right-of-Way/Utility Easement, ,Sutter,0,0,0.25, ,2898,710.037827814,3862.06640625,911.675065575911,5606a8d9-263d-4a10-bd31-f4c9de09cdc3
2858,2016107,Central Region State Wildlife Area Habitat Enhancement Project,2016/11/16 00:00:00+00,Development,Restoration/Enhancement,Inland Wetlands Conservation Program,Interior Wetlands,"Ducks Unlimited, Inc.",Merced,993000,1063666,956,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2899,62249.3134044,61928137.5117188,78151.0340294905,55e55574-778b-4729-9a65-1526d1cfaa09
2859,2015075,"Salton Sea Species Conservation Habitat Project, Phase II",2016/11/16 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Interior Wetlands,Department of Water  Resources,Imperial,14000000,37600000,640,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2900,10111.6176537,11629541.703125,12089.2332611018,3bc8635e-e278-4d31-939d-f52723248a10
2860,2016067,"Southern California Coastal Wetland and Riparian Restoration, Phase II",2016/11/16 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Coastal Wetlands,State Coastal Conservancy,Multiple,450000,995000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2901,10111.6176363,11865611.328125,12211.266905035,0a135311-6f97-4288-98d8-8740a33e775e
2861,2016113,County of San Diego Multiple Species Conservation Program 2015 (Capralis),2016/11/16 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,Endangered Habitats Conservancy,San Diego,108015,280000,20, ,2902,1211.05995413,111595.59375,1442.00527702666,e4fb5510-73f7-4cc2-b748-0e3df764b664
2862,2016114,County of San Diego Multiple Species Conservation Program 2015 (Cheyenne),2016/11/16 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,Endangered Habitats Conservancy,San Diego,567825,1590000,118, ,2903,4676.33021922,678516.7109375,5576.65461722486,e44dff07-4cc3-41f1-98ff-9734979cb03f
2863,2014172,University Heights,2016/11/16 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,The Escondido Creek Conservancy,San Diego,1281750,4010000,258, ,2904,5886.79083771,1482510.98046875,7032.96591898764,cce72473-d99b-44e5-b215-4af0a3f53565
2864,2016050,San Joaquin River Parkway  (Circle V),2016/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Riparian Habitat,San Joaquin River Conservancy,Madera,1090000,1090000,19.97, ,2905,1232.42778965,132250.9375,1542.70125431848,076fedc2-043d-442d-b8e8-6443094f5cd4
2865,2016095,Western Riverside MSHCP (2012) - Terra,2016/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Vernal Pool Habitat,Western Riverside County RCA,Riverside,240000,1157000,280, ,2906,6633.44451382,1736310.0078125,7965.09573952846,268bdac3-81d3-4251-b07c-540f51407e25
2866,2016068,East Contra Costa County HCP/NCCP (Coelho),2016/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Wildlife Corridor/Habitat Link,East Contra Costa County Habitat Conservancy,Contra Costa,464239,1505750,199, ,2907,5296.72615652,1314257.8828125,6713.6634095627,5279d5c4-8496-4c0a-9fd5-a68a414210f7
2867,2015078,"Wheeler Ridge, Expansion 5",2016/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Deer Range Habitat, ,Mono,435000,435000,20.48, ,2908,1363.70454909,132363.375,1720.42639612077,3cd74ccd-5235-4c7d-9550-a91c5f73e871
2868,2015080,"Antelope Valley Wildlife Area, Expansion 6",2016/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Wildlife Related Access,California Department of Fish and Wildlife,Sierra,180000,180000,160, ,2909,3206.30686177,1062884.22265625,4166.3545129127,54d7ce33-e278-498c-83a1-899000aa6353
2869,2015032,"Big Valley Wetlands, Melo Property",2016/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Interior Wetlands, ,Lake,135000,210000,34, ,2910,2010.98581193,228431.29296875,2591.95420909979,33265b5f-0bb6-4ab4-b63b-f5625bcc2e25
2870,2015086,South Central Coast Invasive Weed Eradication,2016/08/30 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Coastal Wetlands,Upper Salinas - Las Tablas Resource Conservation District,San Luis Obispo,405000,601369,46,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2911,184211.489592,132202171.300781,225289.05373704,b36d674e-864e-434c-a156-1f7ed6e64fea
2871,2016099,"Moss Landing Wildlife Area Enhancement, Planning, Design and Pilot",2016/08/30 00:00:00+00,Development,"Other (Plan, Study, Etc.)",Habitat Enhancement and Restoration Program,Coastal Wetlands,"Ducks Unlimited, Inc.",Monterey,480000,485000,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2912,17004.9560588,4689900.7890625,21263.3458422541,05200ca3-bd3f-4fe2-8bb3-2f63b61d0cd5
2872,2014066,"Elkhorn Slough Land Exchange, Moro Cojo Slough - Calcagno",2016/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Wetlands, ,Monterey,70073,70073,1, ,2913,3183.78521638,178923.49609375,3979.02556926539,8f580da1-d8b0-4d9c-aa47-5d2273597514
2873,2016115,"Yolo County HCP/NCCP Development, Phase III Augmentation",2016/08/30 00:00:00+00,Development,"Other (Plan, Study, Etc.)",Miscellaneous Projects Program,Other,Yolo Habitat Conservancy,Yolo,150000,612500,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2914,10111.6176436,13372939.6835938,12963.6571004721,93bff47c-af79-4d2a-bacf-a464c27afe74
2874,2016054,"San Joaquin River Parkway, Weed Management and Job Creation Project",2016/08/30 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Riparian Habitat,Fresno Economic Opportunities Commission,Fresno,959934,1059934,500,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2915,41175.8858401,9946255.4296875,51512.9910788081,afa8eea0-be31-4113-892f-35fad00f38cc
2875,2016110,Jenner Headlands Preserve Hwy 1 Public Recreation Parking Lot,2016/08/30 00:00:00+00,Development,Public Access,Public Access Program,Public Facility,The Wildlands Conservancy,Sonoma,250000,1848977,0,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2916,505.388297797,33172.9140625,645.909164207089,8c3f72da-edff-4d66-ab80-558aaa3b89d7
2876,2015047,"Sycuan Peak Ecological Reserve, Expansion 8",2016/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Wildlife Corridor/Habitat Link, ,San Diego,120000,120000,40, ,2917,1602.13918687,227508.03515625,1907.94809435665,717eb5da-50df-4a86-9465-a39fc91550f6
2877,2012027,"RLA Peninsular Bighorn Sheep, Shumway Ranch",2016/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Bighorn Sheep Habitat, ,Riverside,278832,1585000,640, ,2918,6442.39315133,2791204.234375,7748.0110575533,1b5ba03c-a65f-432d-b812-74c71fe7324e
2878,2014112,"Crocker Meadows Wildlife Area, Expansion #2",2016/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Deer Range Habitat, ,Plumas,1755000,1755000,1066, ,2919,19261.5957936,7599170.94140625,25096.1352595916,a0ac0ba2-672b-4d60-b149-04f91e43e70e
2879,2015087,Sawmill Pebble Plain Ecological Preserve Expansion 1,2016/08/30 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,San Bernardino Mountains Land Trust,San Bernardino,1874600,2775000,245, ,2920,4047.59837306,1457081.734375,4904.82661702532,51f8558a-8fe7-4a5e-b3e0-7764cd207e32
2880,2009007,Stewarts Point Ranch,2016/08/30 00:00:00+00,Acquisition,Fee Title,California Forest Conservation Program,Forest Habitat,Sonoma County Agricultural Preservation and Open Space District,Sonoma,3020000,6020000,871, ,2921,13320.208487,4970887.2890625,17066.4079210439,5aa4d39d-3344-46ec-882b-f4653ece3d24
2881,2014208,Anderson Ranch,2016/08/30 00:00:00+00,Acquisition,Conservation Easement,Land Acquisition Program,Deer Range Habitat,Feather River Land Trust,Lassen,1195000,2170000,5530, ,2922,83667.9701955,37211205.71875,109029.079820427,d6fd9f43-8f49-4a41-8b33-bbb07e075844
2882,2016101,North San Diego County Coastal Wetlands Invasive Species Management,2016/08/30 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Coastal Wetlands,San Elijo Lagoon Conservancy,San Diego,850000,1097706,65,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2923,1147.86991368,24899.234375,1371.65741287981,50635853-915a-4168-a7b6-070a1fd2ad94
2883,2015007,Shasta Valley Wildlife Area Fishing Access,2017/02/23 00:00:00+00,Development,Public Access,Public Access Program,Fishing Access, ,Siskiyou,906200,906200,1,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2924,27987.9940795,34296576.4882813,37503.1153780702,04ce3661-6c3e-489f-8978-c6b9eed0e7a0
2884,2016111,East Contra Costa County HCP/NCCP (Viera North Peak),2017/02/23 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Grasslands/Upland Habitat, ,Contra Costa,437000,1090000,165, ,2925,4220.7518009,1156072.9140625,5351.64072885425,fb20af79-48df-4599-a866-d1cc37c6c95e
2885,2016146,East Contra Costa County HCP/NCCP (Campos),2017/02/23 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Grasslands/Upland Habitat, ,Contra Costa,236200,530000,80, ,2926,2403.10884872,510290.54296875,3044.05986170442,aa98ebcd-807e-4ad5-a77b-22458cacafd5
2886,2013033,Valley Vista,2017/02/23 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,Coastal Sage Scrub,Trust for Public Land,Los Angeles,1010000,3260000,240, ,2927,5875.87823043,1180084.1328125,7124.07520813825,da369ad4-a53c-4f87-bb6f-88819a9dc994
2887,2016135,Western Riverside MSHCP (2015) - McLaughlin,2017/02/23 00:00:00+00,Acquisition,Fee Title,Land Acquisition Program,T&E Species Habitat,Western Riverside County RCA,Riverside,589750,1672000,476, ,2928,6911.94827317,2816581.640625,8320.57805875371,bb4bfac1-f86e-4d1b-aca2-7b817c388e22
2888,2016108,Hanson El Monte Pond Restoration,2017/02/23 00:00:00+00,Development,Restoration/Enhancement,Habitat Enhancement and Restoration Program,Interior Wetlands,Lakeside’s River Park Conservancy,San Diego,426000,4004852,54,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2929,2446.64037084,677002.57421875,2917.03280574549,5f1e752f-c76a-4a36-8936-4b44d4e8a8bd
2889,2016157,Knights Landing Boat Launch Facility Construction,2017/02/23 00:00:00+00,Development,Public Access,Public Access Program,Public Facility,County of Yolo,Yolo,1435000,1674616.8,1,Polygons does not represent actual project area. See Wildlife Conservation Board's mintues and/or agenda for detailed information or contact the Board for additional information. (http://www.wcb.ca.gov/),2931,232.263146894,7066.09375,298.250790495046,67d3cd64-8d11-450c-8b5a-b1458982fa4a
